T(°C) entre 15°C et 30;Viscosité: η(c;T(°C) entre 15°C et 30;Densité relative de l'eau
15,1;1,136;0;0,999866
15,2;1,133;3,98 (4ºC;1
15,3;1,13;16;0,99897
15,4;1,127;16,5;0,998887
15,5;1,124;17;0,998802
15,6;1,121;17,1;0,998784
15,7;1,118;17,2;0,998767
15,8;1,115;17,3;0,998749
15,9;1,112;17,4;0,998731
16;1,109;17,5;0,998714
16,1;1,106;17,6;0,998696
16,2;1,103;17,7;0,998677
16,3;1,1;17,8;0,998659
16,4;1,097;17,9;0,998641
16,5;1,095;18;0,998623
16,6;1,092;18,1;0,998604
16,7;1,089;18,2;0,998585
16,8;1,086;18,3;0,998567
16,9;1,083;18,4;0,998548
17;1,081;18,5;0,998529
17,1;1,078;18,6;0,99851
17,2;1,075;18,7;0,99849
17,3;1,072;18,8;0,998477
17,4;1,069;18,9;0,998457
17,5;1,067;19;0,998432
17,6;1,064;19,1;0,998413
17,7;1,061;19,2;0,998393
17,8;1,059;19,3;0,998373
17,9;1,056;19,4;0,998353
18;1,053;19,5;0,998333
18,1;1,051;19,6;0,998313
18,2;1,048;19,7;0,998293
18,3;1,045;19,8;0,998272
18,4;1,043;19,9;0,998252
18,5;1,04;20;0,998231
18,6;1,037;20,1;0,998211
18,7;1,035;20,2;0,99819
18,8;1,032;20,3;0,998169
18,9;1,03;20,4;0,998148
19;1,027;20,5;0,998127
19,1;1,025;20,6;0,998106
19,2;1,022;20,7;0,998084
19,3;1,019;20,8;0,998063
19,4;1,017;20,9;0,998041
19,5;1,014;21;0,99802
19,6;1,012;21,1;0,997998
19,7;1,009;21,2;0,997976
19,8;1,007;21,3;0,997954
19,9;1,004;21,4;0,997932
20;1,002;21,5;0,99791
20,1;0,9996;21,6;0,997888
20,2;0,9971;21,7;0,997866
20,3;0,9947;21,8;0,997843
20,4;0,9923;21,9;0,997821
20,5;0,9899;22;0,997798
20,6;0,9875;22,1;0,997775
20,7;0,9851;22,2;0,997752
20,8;0,9827;22,3;0,997729
20,9;0,9803;22,4;0,997706
21;0,978;22,5;0,997683
21,1;0,9756;22,6;0,99766
21,2;0,9733;22,7;0,997637
21,3;0,9709;22,8;0,997613
21,4;0,9686;22,9;0,99759
21,5;0,9663;23;0,997566
21,6;0,964;23,1;0,997542
21,7;0,9617;23,2;0,997519
21,8;0,9594;23,3;0,997495
21,9;0,9571;23,4;0,997471
22;0,9548;23,5;0,997446
22,1;0,9526;23,6;0,997422
22,2;0,9503;23,7;0,997398
22,3;0,9481;23,8;0,997373
22,4;0,9458;23,9;0,997349
22,5;0,9436;24;0,997324
22,6;0,9414;24,1;0,9973
22,7;0,9392;24,2;0,997275
22,8;0,937;24,3;0,99725
22,9;0,9348;24,4;0,997225
23;0,9326;24,5;0,9972
23,1;0,9304;24,6;0,997175
23,2;0,9282;24,7;0,997149
23,3;0,9261;24,8;0,997124
23,4;0,9239;24,9;0,997098
23,5;0,9218;25;0,997073
23,6;0,9196;25,1;0,997047
23,7;0,9175;25,2;0,997021
23,8;0,9154;25,3;0,996996
23,9;0,9132;25,4;0,99697
24;0,9111;25,5;0,996944
24,1;0,909;25,6;0,996917
24,2;0,9069;25,7;0,996891
24,3;0,9049;25,8;0,996865
24,4;0,9028;25,9;0,996838
24,5;0,9007;26;0,996812
24,6;0,8986;26,1;0,996785
24,7;0,8966;26,2;0,996759
24,8;0,8945;26,3;0,996732
24,9;0,8925;26,4;0,996705
25;0,8905;26,5;0,996678
25,1;0,8884;26,6;0,996651
25,2;0,8864;26,7;0,996624
25,3;0,8844;26,8;0,996596
25,4;0,8824;26,9;0,996569
25,5;0,8804;27;0,996542
25,6;0,8784;27,1;0,996514
25,7;0,8764;27,2;0,996486
25,8;0,8745;27,3;0,996459
25,9;0,8725;27,4;0,996431
26;0,8705;27,5;0,996403
26,1;0,8686;27,6;0,996375
26,2;0,8666;27,7;0,996347
26,3;0,8647;27,8;0,996319
26,4;0,8628;27,9;0,99629
26,5;0,8608;28;0,996262
26,6;0,8589;28,1;0,996234
26,7;0,857;28,2;0,996205
26,8;0,8551;28,3;0,996176
26,9;0,8532;28,4;0,996148
27;0,8513;28,5;0,996119
27,1;0,8494;28,6;0,99609
27,2;0,8476;28,7;0,996061
27,3;0,8457;28,8;0,996032
27,4;0,8438;28,9;0,996003
27,5;0,842;29;0,995973
27,6;0,8401;29,1;0,995944
27,7;0,8383;29,2;0,995915
27,8;0,8364;29,3;0,995885
27,9;0,8346;29,4;0,995855
28;0,8328;29,5;0,995826
28,1;0,831;29,6;0,995796
28,2;0,8291;29,7;0,995766
28,3;0,8273;29,8;0,995736
28,4;0,8255;29,9;0,995706
28,5;0,8237;30;0,995676
28,6;0,822;30,1;0,995646
28,7;0,8202;30,2;0,995615
28,8;0,8184;30,3;0,995585
28,9;0,8166;30,4;0,995555
29;0,8149;30,5;0,995524
29,1;0,8131;30,6;0,995493
29,2;0,8114;30,7;0,995463
29,3;0,8096;30,8;0,995432
29,4;0,8079;30,9;0,995401
29,5;0,8062;31;0,99537
29,6;0,8044;31,1;0,995339
29,7;0,8027;31,2;0,995308
29,8;0,801;31,3;0,995276
29,9;0,7993;31,4;0,995245
30;0,7976;31,5;0,995214
